Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
25793308999,GOOJODOQ Quạt Mini cầm tay 1200 mAh có thể sạc lại cho trường học có đèn USB nhỏ chạy điện cho trẻ em,"109,0k",10k+,Goojodoq Offical Shop.VN,18%,₫19.620,https://shopee.vn/product/1053077389/25793308999,https://s.shopee.vn/gLlqgvOUi
26087225781,"[MUA 2 TẶNG 1] Nước Tẩy Bồn Cầu Flashman 500g – Diệt Khuẩn 99.9% – Khử Mùi, Tẩy Sạch Vết Bẩn","89,0k",40k+,FLASHMAN VN,22%,₫19.580,https://shopee.vn/product/1500204576/26087225781,https://s.shopee.vn/qfC2zul9l
22660075370,"Kệ đựng đồ đa năng 3 tầng Sunmix khay nhựa cao cấp , kệ đựng đồ nhà bếp có bánh xe di chuyển (Loại To)","45,8k",100k+,neosure123,15%,₫6.870,https://shopee.vn/product/188141640/22660075370,https://s.shopee.vn/10ycFIu7oo
25335711978,(KID)Thùng 10 gói khăn ướt Gumi không cồn không parabens cao cấp dành cho em bé.,"102,0k",500k+,Gumivn,20%,₫20.400,https://shopee.vn/product/801176484/25335711978,https://s.shopee.vn/1BI2RbtUTr
51650595792,giày bệt nữ xinh mic nơ đẹp mã GB900,"99,0k",20k+,Giầy BiBi,18%,₫17.820,https://shopee.vn/product/4980129/51650595792,https://s.shopee.vn/1653Sxvqe
28561066896,Đèn Bắt Muỗi Tự Động - Máy Bắt Muỗi Thông Minh Hút Côn Trùng - Công Nghệ Đèn LED Kiêm Đèn Ngủ Sạc USB,"99,0k",400k+,Shop MEEW,15%,₫14.850,https://shopee.vn/product/1324942183/28561066896,https://s.shopee.vn/BPVFlxIVh
27911971099,"SET 6 TÚI HÚT CHÂN KHÔNG GREEN CẤT CHĂN, QUẦN ÁO TIỆN LỢI","165,0k",10k+,Tofanshop,16%,₫26.400,https://shopee.vn/product/1327040208/27911971099,https://s.shopee.vn/LivS4wfAk
28733253030,Áo Thun Nữ Thắt Eo Ôm Body BYJANE chất cotton trơn co dãn 4 chiều Women (Từ 39kg-65kg) BYJANE - 315,"60,0k",90k+,BYJANE.HN,18%,₫10.800,https://shopee.vn/product/1514216378/28733253030,https://s.shopee.vn/W2LeNw1pn
28260366633,(KID)Thùng 10 gói khăn ướt Gumi không cồn không parabens cao cấp dành cho em bé.,"102,0k",500k+,Gumi Hồ Chí Minh,20%,₫20.400,https://shopee.vn/product/864405042/28260366633,https://s.shopee.vn/4fruc2gANc
24491019937,"Khăn giấy vệ sinh treo tường Tiểu Hạ 1000 tờ làm từ bột gỗ thiên nhiên, an toàn, 6 bịch hoặc 10 bịch","100,0k",300k+,TopGia HCM,18%,₫18.000,https://shopee.vn/product/729014007/24491019937,https://s.shopee.vn/4qBKoLfX2f
41408366187,COMBO TRI ÂN gồm 10 chân gà + 1 hũ đùi gà - ĂN CÙNG BÀ TUYẾT M64,"200,0k",20k+,Ăn Cùng Bà Tuyết,20%,₫40.000,https://shopee.vn/product/279658061/41408366187,https://s.shopee.vn/50Ul0eethi
7881305878,"❌Hàng Có Sẵn❌ Dép Đi Trong Nhà , Nhà Tắm , Văn Phòng Dáng Lỗ Siêu Bền, Siêu Nhẹ Chống Trơn Trượt 1899 Lamon Store","28,4k",300k+,SHOP GIA DỤNG LAMON,15%,₫4.257,https://shopee.vn/product/391575467/7881305878,https://s.shopee.vn/5AoBCxeGMl
26855755383,"Máy Xay Đa Năng Osaka Nhật Bản - Máy Xay Sinh Tố, Máy xay Thịt Cao Cấp-Lưỡi Dao Lớn Không Gỉ","94,5k",40k+,NK.STORE VN,13%,₫12.285,https://shopee.vn/product/269837051/26855755383,https://s.shopee.vn/40cDooihjY
17532975547,"Thùng 30 gói giấy ăn rút Topgia 3 màu cao cấp 4 lớp dày dặn, mềm mịn, thùng 16/36/46/10 gói","62,0k",1tr+,TopGia HCM,20%,₫12.400,https://shopee.vn/product/729014007/17532975547,https://s.shopee.vn/4Ave17i4Ob
27778200245,"[NE11] Dép Sục Búp Bê Nữ NESTY Đế Bằng Cao 2cm - Chống trơn trượt, Siêu Nhẹ, Êm Chân, Công Sở/Dạo Phố/Đi Chơi/Làm","103,5k",20k+,Nesty Việt Nam Store,19%,₫19.665,https://shopee.vn/product/618428702/27778200245,https://s.shopee.vn/4LF4DQhR3e
22633318473,Khăn giấy ướt Gumi gói 100 tờ không mùi cho bé khăn ướt khăn lau em bé,"27,0k",100k+,Gumi Hồ Chí Minh,20%,₫5.400,https://shopee.vn/product/864405042/22633318473,https://s.shopee.vn/4VYUPjgnih
25066576947,"Máy Xay Thịt Đa Năng MISUMA Chất Liệu Inox, Công Suất Mạnh Xay Gì Cũng Được","145,0k",20k+,MISUMA STORE,20%,₫29.000,https://shopee.vn/product/727857417/25066576947,https://s.shopee.vn/3LMX1alF5U
41453736529,"[MUA 1 TẶNG 1] Nước Tẩy Bồn Cầu Flashman 500g – Diệt Khuẩn 99.9% – Khử Mùi, Tẩy Sạch Vết Bẩn","109,0k",40k+,FLASHMAN VN,22%,₫23.980,https://shopee.vn/product/1500204576/41453736529,https://s.shopee.vn/3VfxDtkbkX
29026757921,SET 100 cái Khẩu Trang 5D Trẻ em KHẨU TRANG CHO BÉ Từ 0-9 Tuổi Khẩu Trang 3 Lớp Ôm sát Khuôn Mặt Bé,"27,0k",10k+,Tổng kho Khẩu Trang - BOBHOUSE,25%,₫6.738,https://shopee.vn/product/16978552/29026757921,https://s.shopee.vn/3fzNQCjyPa
7396375835,"Bún gạo rau củ Cao Bằng eatclean, healthy Tây Nguyên Food - Việt Nam 1kg","122,2k",40k+,Tây Nguyên Food - Việt Nam,20%,₫24.438,https://shopee.vn/product/494267954/7396375835,https://s.shopee.vn/3qIncVjL4d
29481171010,Heo Thuỷ Tinh Tiết Kiệm - Ống Heo Đựng Nhẫn Vàng - Heo Đất/Lợn Đất,"140,0k",498,Tiệm Heo Đất Long Xuyên,20%,₫28.000,https://shopee.vn/product/822734870/29481171010,https://s.shopee.vn/2g6qEMnmRQ
41056992146,"[MUA 2 TẶNG 1] Chai Tẩy Bồn Cầu FLASHMAN – Nước Tẩy Rửa Nhà Vệ Sinh - Diệt Khuẩn 99.9%- Trắng Sáng- Sạch Thơm, 500g/Chai","109,0k",4k+,Siêu Thị Mới,22%,₫23.980,https://shopee.vn/product/1557876975/41056992146,https://s.shopee.vn/2qQGQfn96T
23083057421,"Combo 1kg Xoài sấy dẻo Mẹ Rô. Có hồ sơ công bố, xuất hóa đơn công ty đầu đủ","149,0k",100k+,THỰC PHẨM SẠCH MẸ RÔ SỐ 1,18%,₫26.820,https://shopee.vn/product/104828612/23083057421,https://s.shopee.vn/30jgcymVlW
29201881549,Máy Cạo Râu Mini 2 Lưỡi Cạo Nổi Máy Cạo Râu Đa Năng Đầu Cạo Chống Nước Đèn Rọi Ray ASAKI - R2,"147,0k",600k+,SMART HOUSEHOLD,19%,₫27.930,https://shopee.vn/product/723523606/29201881549,https://s.shopee.vn/3B36pHlsQZ
42371993126,"[Combo] Dép đi trong nhà, văn phòng, khách sạn, dép sọc quai ngang siêu nhẹ êm chân(DSD014) (GDBT)","22,0k",7k+,Tổng Kho Quyên Gia Dụng,20%,₫4.400,https://shopee.vn/product/1150815656/42371993126,https://s.shopee.vn/7powNrU6xU
24025862668,"(BAO BÌ MỚI) Giấy ăn rút Top Gia Sắc Hạ, khăn giấy 4 lớp dập vân 4D chắc chắn siêu dai","62,0k",100k+,TopGia HCM,18%,₫11.160,https://shopee.vn/product/729014007/24025862668,https://s.shopee.vn/7fVWBYUkIT
8763548860,"Thảm lau chân, thảm chùi chân nhà bếp bali đế cao su chống trơn trượt kitty 40x60cm Kim Huệ X01","11,9k",700k+,Trang trí Kim Huệ,17%,₫2.023,https://shopee.vn/product/52699822/8763548860,https://s.shopee.vn/7VC5zFVNdS
28850801430,Sạc dự Phòng Led 30000mah - Sạc nhanh 120W - Tích Hợp 2 dây sạc LN và Type C Màn hình hiển thị % Pn,"399,0k",50k+,Art.Tech,14%,₫55.860,https://shopee.vn/product/718216000/28850801430,https://s.shopee.vn/7KsfmwW0yR
9972118249,Đèn bàn học HY2266 Bóng LED Chống Cận Bảo Vệ Mắt,"147,0k",100k+,Thiết bị điện Hoàng Yến,15%,₫22.049,https://shopee.vn/product/135862971/9972118249,https://s.shopee.vn/7AZFadWeJQ
